Brand,Price,Released Date,OS,Display,Camera,RAM,Battery
Meizu,Coming soon,Not announced yet,Android 14,"6.55"" 1080x2340 pixels",200MP 4320p,8/12GB RAM Snapdragon 8 Gen 3,4800mAh
Walton,"৳13,999.00","2024, March 15",Android 13,"6.8"" 720 x 1612 pixels",52MP 1080P,8GB RAM UNISOC TIGER T606,6000mAh Li-po
Ulefone,"৳30,000.00","2024, March 14",Android 13,"5.93"" 720x1440 pixels",50MP 1080p,8GB RAM Unisoc Tiger T616,9600mAh 18W
Asus,"৳110,000.00","2024, April 14",Android 14,"6.78"" 1080x2400 pixels",50MP 4320p,12/16GB RAM Snapdragon 8 Gen 3,5500mAh 65W15W
Xiaomi,"৳23,000.00","2024, March 13",Android 14,"6.67"" 1080x2400 pixels",108MP 1080p,8/12GB RAM Dimensity 6080,5000mAh 33W
Vivo,"৳12,000.00","2024, March 13","Android 14, Funtouch 14","6.56"" 720x1612 pixels",13MP 1080p,4GB RAM Helio G85,5000mAh 15W
Realme,"৳25,000.00","2024, April 07","Android 14, Realme UI 5.0","6.67"" 1080x2400 pixels",50MP 1080p,12GB RAM Dimensity 6100+,5000mAh 15W
Motorola,"৳35,000.00","2024, March 22",Android 14,"6.7"" 1080x2400 pixels",50MP 1080p,8GB RAM Dimensity 7020,5000mAh 30W15W
Motorola,"৳22,000.00","2024, March 21",Android 14,"6.6"" 720x1612 pixels",50MP 1080p,4GB RAM Snapdragon 4 Gen 1,5000mAh 18W
Vivo,"৳29,000.00","2024, March 13","Android 14, Funtouch 14","6.67"" 1080x2400 pixels",50MP 2160p,8GB RAM Dimensity 7200,5000mAh 44W
Sony,Coming soon,Not announced yet,Android 14,"6.1"" 1080x2520 pixels",48MP 1080p,6/8GB RAM Snapdragon 695 5G,5000mAh Li-Po
Samsung,"৳36,000.00","2024, March 15","Android 14, One UI 6.1","6.6"" 1080x2340 pixels",50MP 2160p,6/8/12GB RAM Exynos 1380,5000mAh 25W
Samsung,"৳43,000.00","2024, March 15","Android 14, One UI 6.1","6.6"" 1080x2340 pixels",50MP 2160p,8/12GB RAM Exynos 1480,5000mAh 25W
Motorola,Coming soon,Not announced yet,Android 14,"6.55"" 1080x2400 pixels",50MP 2160p,8GB RAM Dimensity 8020,4400mAh Li-Po
Motorola,Coming soon,Not announced yet,Android 14,"6.67"" 1080x2400 pixels",50MP 4320p,8-18GB RAM Snapdragon 8 Gen 2,5000mAh Li-Po
Motorola,Coming soon,Not announced yet,Android 14,"6.67"" 1080x2400 pixels",50MP 4320p,8GB RAM Snapdragon 8 Gen 2,5100mAh Li-Po
Oppo,Coming soon,Not announced yet,Android 14,"6.7"" 1080x2412 pixels",64MP 2160p,8GB RAM Dimensity 7050,5000mAh Li-Po
ZTE,Coming soon,Not announced yet,Android 13,"6.92"" 1080x2460 pixels",64MP 2160p,8GB RAM Snapdragon 888,4500mAh Li-Ion
Oppo,Coming soon,Not announced yet,Android 14,"6.8"" 1080x2520 pixels",50MP 2160p,12GB RAM Dimensity 9200,4300mAh Li-Po
Samsung,"৳12,000.00","2024, March 07","Android 13, One UI 5.1","6.7"" 1080x2400 pixels",50MP 1080p,4/6GB RAM Snapdragon 680 4G,5000mAh 25W
OnePlus,Coming soon,Not announced yet,Android 14,"6.78"" 1240x2772 pixels",50MP 2160p,8/12GB RAM Snapdragon 8 Gen 2,5500mAh
OnePlus,Coming soon,Not announced yet,Android 14,"6.82"" 1440x3168 pixels",50MP 4320p,12-24GB RAM Snapdragon 8 Gen 3,5400mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 14,"6.64"" 1080x2388 pixels",50MP 1080p,12GB RAM Dimensity 6020,5000mAh
Realme,"৳20,000.00","2024, March","Android 14, Realme UI 5.0","6.72"" 1080x2400 pixels",108MP 1080p,6/8GB RAM Dimensity 6100+,5000mAh 45W
Nothing,"৳39,000.00","2024, March 12","Android 14, Nothing OS 2.5","6.7"" 1080x2412 pixels",50MP 2160p,8/12GB RAM Dimensity 7200,5000mAh Li-Ion
Samsung,"৳20,000.00","2024, March 11","Android 14, One UI 6","6.6"" 1080x2340 pixels",50MP 1080p,4/6GB RAM Dimensity 6100+,6000mAh 25W
Symphony,"৳9,499.00","2024, March 03",Android 13,"6.56"" 720x1600 pixels",52MP 1080p,4GB RAM UniSOC T616,5000mAh Li-Po
Walton,"৳17,999.00","2024, March",Android 13,"6.82"" 720 x 1640 pixels",50MP 1080P,12GB RAM Helio G85,5010mAh Li-po
Meizu,"৳95,000.00","2024, March 02","Android, Flyme","6.79"" 1368x3192 pixels",50MP 4320p,12/16GB RAM Snapdragon 8 Gen 3,5050mAh 80W50W
Oppo,"৳35,000.00","2024, March 04","Android 14, ColorOS 14","6.7"" 1080x2412 pixels",64MP 2160p,8GB RAM Dimensity 7050,5000mAh 67W
ZTE,Coming soon,"Exp. release 2024, Q1-Q2",Android 14,"6.72"" 1080x2400 pixels",50MP 1080p,8GB RAM Unisoc T820,6000mAh 33W
ZTE,"৳20,000.00","Exp. release 2024, Q1-Q2",Android 14,"6.6"" 720x1612 pixels",50MP 1080p,4GB RAM Unisoc SC9863A,5000mAh
ZTE,Coming soon,"Exp. release 2024, Q1-Q2",Android 14,"6.72"" 1080x2400 pixels",108MP 2160p,8GB RAM Unisoc T760,5000mAh 33W
ZTE,"৳25,000.00","Exp. release 2024, Q1-Q2",Android 14,"6.6"" 720x1612 pixels",108MP 2160p,8GB RAM Unisoc T760,5000mAh 33W
Lava,"৳25,000.00","2024, March 11","Android 13, planned upgrade to Android 14","6.67"" 1080x2400 pixels",64MP 2160p,8GB RAM Dimensity 7050,5000mAh Li-Po
Doogee,Coming soon,"2024, March",Android 13,"6.67"" 1080x2400 pixels",50MP 2160p,12GB RAM Dimensity 8020,5150mAh 120W50W
Tecno,Coming soon,"2024, April 02","Android 14, HIOS 14","6.78"" 1080x2436 pixels",50MP 2160p,12GB RAM Dimensity 8200,5000mAh 70W
Tecno,Coming soon,"Exp. release 2024, May","Android 14, HIOS 14","6.77"" 1264x2780 pixels",50MP 2160p,12GB RAM Dimensity 8200,5000mAh 70W
Tecno,Coming soon,"2024, April 02","Android 14, HIOS 14","6.78"" 1080x2436 pixels",50MP 2160p,Dimensity 7020,5000mAh 70W
Tecno,Coming soon,"2024, April 02","Android 14, HIOS 14","6.78"" 1080x2436 pixels",50MP 1080p,Helio G99 Ultimate,5000mAh 70W
ZTE,"৳75,000.00","Exp. release 2024, April",Android 13,"6.9"" 1188x2790 pixels",50MP 2160p,6GB RAM Snapdragon 7 Gen 1,4310mAh 33W
Vivo,"৳35,000.00","2024, February 26","Android 14, Funtouch 14","6.67"" 1080x2400 pixels",50MP 1080p,12GB RAM Snapdragon 4 Gen 2,5000mAh 80W
TCL,Coming soon,"Exp. release 2024, Q2","Android 14, planned upgrade to Android 15","6.6"" 720x1612 pixels",50MP 1080p,8GB RAM Dimensity 700,5010mAh
TCL,Coming soon,"Exp. release 2024, Q2","Android 14, planned upgrade to Android 15","6.78"" 1080x2460 pixels",50MP 1080p,4/6GB RAM Helio G88,5010mAh
TCL,Coming soon,"Exp. release 2024, Q2",Android 14,"6.0"" 540x1092 pixels",5MP 1080p,2GB RAM Helio G36,3000mAh 10W
Tecno,Coming soon,"Exp. release 2024, March","Android 14, HIOS 14","6.78"" 1080x2436 pixels",108MP 1440p,8/12GB RAM Dimensity 6080,6000mAh 70W
Energizer,"৳30,000.00","Exp. release 2024, October",Android 14,"6.78"" 1080x2460 pixels",60MP 2160p,8GB RAM Helio G99,28000mAh 33W
Vivo,"৳25,000.00","2024, February 28","Android 13, OriginOS 3","6.64"" 1080x2388 pixels",64MP 2160p,8/12GB RAM Dimensity 8200,5000mAh 120W
Xiaomi,"৳140,000.00","2024, February 22","Android 14, HyperOS","6.73"" 1440x3200 pixels",50MP 4320p,12/16GB RAM Snapdragon 8 Gen 3,5000mAh 90W80W
Vivo,"৳28,000.00","2024, February 22","Android 14, Funtouch 14","6.67"" 1080x2400 pixels",50MP 1080p,6/8GB RAM Snapdragon 4 Gen 2,5000mAh 44W
Huawei,"৳18,000.00","2024, February 22",HarmonyOS 4.0,"6.75"" 720x1600 pixels",13MP 1080p,Kirin 710A,6000mAh Li-Po
Xiaomi,"৳55,000.00","2024, February 22","Android 14, HyperOS","12.4"" 2032x3048 pixels",50MP 2160p,8-16GB RAM Snapdragon 8 Gen 2,10000mAh 120W
Vivo,"৳60,000.00","2024, February 22","Android 14, Funtouch 14","6.78"" 1260x2800 pixels",50MP 4320p,8/12GB RAM Snapdragon 8 Gen 2,5160mAh
Realme,"৳40,000.00","2024, April 22","Android 14, Realme UI","6.72"" 1080x2400 pixels",108MP 1080p,6/8GB RAM Snapdragon 685,5000mAh 33W
Lava,Coming soon,Not announced yet,Android 13,"6.5"" 720x1600 pixels",50MP 1080p,8GB RAM Unisoc Tiger T616,5000mAh Li-Po
Oppo,Coming soon,Not announced yet,Android 14,"6.82"" 1440x3168 pixels",50MP 2160p,12/16GB RAM Snapdragon 8 Gen 3,5000mAh Li-Po
Oppo,Coming soon,Not announced yet,Android 13,"6.82"" 1440x3168 pixels",50MP 2160p,12/16GB RAM Snapdragon 8 Gen 2,5000mAh Li-Po
Oppo,Coming soon,Not announced yet,Android 14,"6.78"" 1264x2780 pixels",64MP 2160p,12/16GB RAM Dimensity 9300,5000mAh
